CODIGO;DESCRIPCION;GRUPO;IMPUESTO ADICIONAL- MAS IVA ;PRECIO;
CCU125DES;CCU 1.25 DESECHABLE;CCU;Bebidas azucaradas - 18 %;5.760;
COR330;CORONA 330ML X18 UNID;ALCOHOL;Cervezas y bebidas alcohólicas 20.5 %;14.850;
COR620;CORONA 620CC X12 UNID;ALCOHOL;Cervezas y bebidas alcohólicas 20.5 %;13.090;SIN STOCK
ESC710;LATA ESCUDO 710ML X 24 UNID;ALCOHOL;Cervezas y bebidas alcohólicas 20.5 %;18.960;
ICE275;COCTEL CAPEL ICE 275 ML X 24;ALCOHOL;Licores, piscos, whisky - 31.5 %;19.000;
IRON;ISOTONICA IRONADE 1LT;ALCOHOL;Bebidas azucaradas - 18 %;4.500;
JC2;JUGO CYRO 2LT;SCORE Y MAS;Bebidas azucaradas - 18 %;4.250;SIN STOCK
JUMEXM;JUMEX 355 X BANDEJA;SCORE Y MAS;Bebidas azucaradas - 18 %;15.650;
KAPOF;KAPO X24 UNID;COCA COLA;Bebidas azucaradas - 18 %;5.800;
LIFE3;AGUA LIFE 3 LT;SCORE Y MAS;Bebidas analcohólicas y minerales - 10 %;3.590;
LIN;ENCENDEDOR LIN;SCORE Y MAS;IVA 19 %;2.100;
ROY470;ROYAL 470 X 24 UNID;ALCOHOL;Cervezas y bebidas alcohólicas 20.5 %;18.960;
SOL650;SOL 650;ALCOHOL;Cervezas y bebidas alcohólicas 20.5 %;12.000;
SX;SUEROX 630ML SURTIDO;SCORE Y MAS;Bebidas azucaradas - 18 %;17.880;
SXF;FASTYLE 630ML X 6UNID;COCA COLA;Bebidas azucaradas - 18 %;7.900;
ZO;ENERGY ZOOM 473 ML;SCORE Y MAS;Bebidas azucaradas - 18 %;15.600;
WHISRED;WHISKY RED LABEL 750 CC;ALCOHOL;Licores, piscos, whisky - 31.5 %;9.990;
WHISKEY;WHISKY JACK DANIEL 50ML;ALCOHOL;Licores, piscos, whisky - 31.5 %;2.600;
EXP500;EXPORTACION VINO 500ML;ALCOHOL;Vinos - 20.5 %;14.768;
TQRAYLOND;GIN TANQUERAY LON D 700CC;ALCOHOL;Licores, piscos, whisky - 31.5 %;15.690;
ARROZ;ARROZ MANGA 10 UNID;ABARROTE;IVA 19 %;6.950;
HEX;HUEVO EXTRA ;ABARROTE;IVA 19 %;36.000;SOLO DESPACHO
H1;HUEVO 1ERA;ABARROTE;IVA 19 %;32.000;SOLO DESPACHO
